year,country,co2,yr_avg_temp_f,yr_avg_temp_c,yr_avg_temp_uncertainty
1840,BELGIUM,2109,47.477,8.598333333333334,1.867
1840,CANADA,1,21.82565,-5.652416666666667,2.2880000000000003
1840,FRANCE,3220,53.834300000000006,12.130166666666668,2.0241666666666664
1840,GERMANY,2504,44.6456,7.025333333333335,1.7816666666666665
1840,HUNGARY,37,46.87145000000001,8.261916666666666,1.905333333333333
1840,NORWAY,12,31.51805,-0.26775,2.078583333333333
1840,POLAND,537,42.78005,5.9889166666666656,1.810083333333333
1840,SPAIN,10,55.73255,13.18475,2.1004166666666664
1840,SWEDEN,11,35.30705000000001,1.8372500000000005,1.894916666666666
1840,UNITED KINGDOM,22096,46.16075,7.867083333333331,1.8521666666666663
1840,UNITED STATES,1603,46.8527,8.251500000000002,1.6546666666666667
1841,AUSTRIA,360,44.16905,6.760583333333334,1.586166666666667
1841,BELGIUM,2017,49.2425,9.579166666666667,1.6528333333333334
1841,CANADA,1,21.713,-5.715000000000002,2.2383333333333333
1841,FRANCE,3772,54.506,12.503333333333336,1.9154166666666668
1841,GERMANY,2606,47.07065000000001,8.372583333333333,1.5269166666666667
1841,HUNGARY,39,50.49665,10.275916666666667,1.65975
1841,NORWAY,16,31.365800000000004,-0.3523333333333329,1.96425
1841,POLAND,584,46.07915,7.8217500000000015,1.522333333333333
1841,SPAIN,28,56.0864,13.381333333333336,1.8674166666666665
1841,SWEDEN,11,35.7077,2.059833333333333,1.717833333333333
1841,UNITED KINGDOM,22336,46.4402,8.022333333333334,1.6786666666666663
1841,UNITED STATES,1696,46.66865000000001,8.14925,1.5540000000000005
1842,AUSTRIA,398,41.9438,5.524333333333334,1.4960833333333332
1842,BELGIUM,2096,48.51215,9.173416666666668,1.5773333333333337
1842,CANADA,1,22.263950000000005,-5.408916666666666,1.969833333333333
1842,FRANCE,3965,54.2627,12.368166666666665,1.8175
1842,GERMANY,2970,46.06775,7.815416666666668,1.5293333333333332
1842,HUNGARY,23,48.02555000000001,8.903083333333333,1.63725
1842,NORWAY,20,33.04955,0.5830833333333335,1.903333333333333
1842,POLAND,623,44.14595,6.74775,1.5025000000000002
1842,SPAIN,39,56.06719999999999,13.370666666666667,1.7083333333333333
1842,SWEDEN,22,37.17605,2.8755833333333336,1.6616666666666668
1842,UNITED KINGDOM,23300,47.42945,8.571916666666667,1.61875
1842,UNITED STATES,1888,47.045,8.358333333333333,1.5910833333333334
1843,AUSTRIA,346,43.21865,6.232583333333333,1.45475
1843,BELGIUM,1941,49.08770000000001,9.493166666666667,1.3776666666666666
1843,CANADA,1,21.00605,-6.10775,1.9923333333333333
1843,DENMARK,37,-1.3927000000000005,-18.5515,2.8776666666666664
1843,FRANCE,3971,54.76565,12.647583333333333,1.7105833333333331
1843,GERMANY,2811,46.89964999999999,8.277583333333334,1.3356666666666666
1843,HUNGARY,24,49.66985,9.816583333333332,1.5285833333333334
1843,NORWAY,17,31.78070000000001,-0.1218333333333334,1.8235
1843,POLAND,613,46.0871,7.826166666666666,1.3925833333333335
1843,SPAIN,47,56.39225000000001,13.551249999999998,1.6116666666666664
1843,SWEDEN,16,36.20735,2.3374166666666665,1.4685833333333334
1843,UNITED KINGDOM,24316,47.08879999999999,8.382666666666667,1.5577500000000002
1843,UNITED STATES,2119,46.0106,7.783666666666668,1.5405
1844,AUSTRIA,435,42.0308,5.5726666666666675,1.1575833333333332
1844,BELGIUM,2129,47.51165,8.617583333333334,1.2205833333333331
1844,CANADA,1,20.739799999999992,-6.255666666666667,2.0595
1844,DENMARK,43,-1.6266999999999998,-18.6815,2.92025
1844,FRANCE,4165,54.06049999999999,12.255833333333333,1.571416666666667
1844,GERMANY,2970,44.9957,7.219833333333334,1.1589166666666666
1844,HUNGARY,51,48.04175,8.912083333333333,1.2662499999999997
1844,NORWAY,18,30.3281,-0.9288333333333336,1.6438333333333337
1844,POLAND,653,43.25405000000001,6.252250000000001,1.1829166666666668
1844,SPAIN,55,56.07319999999999,13.374,1.4308333333333334
1844,SWEDEN,27,33.993050000000004,1.1072499999999998,1.3114166666666671
1844,UNITED KINGDOM,25511,46.34960000000001,7.972,1.3326666666666669
1844,UNITED STATES,2540,46.5491,8.082833333333333,1.4828333333333332
1845,AUSTRIA,491,42.03485,5.574916666666666,1.4306666666666663
1845,BELGIUM,2243,46.9253,8.291833333333335,1.4742500000000005
1845,CANADA,1,21.3971,-5.8905,2.2985
1845,DENMARK,57,-1.3606000000000036,-18.533666666666665,2.871083333333333
1845,FRANCE,4868,53.69734999999999,12.054083333333333,1.564
1845,GERMANY,3442,44.8199,7.122166666666666,1.4535833333333332
1845,HUNGARY,24,48.64939999999999,9.249666666666668,1.5450833333333334
1845,NORWAY,27,31.13255,-0.4819166666666668,1.7420833333333334
1845,POLAND,762,43.94674999999999,6.637083333333332,1.5032500000000002
1845,SPAIN,75,55.41965000000001,13.010916666666667,1.4037499999999998
