year,country,co2,avg_yly_tmp_f,avg_yly_tmp_c,avg_yly_tmp_uncertainty
1853,AUSTRIA,880.0,41.6258,5.347666667,1.00775
1853,BELGIUM,3217.0,46.93625,8.297916667,1.1505
1853,CANADA,28.0,21.93635,-5.590916667,2.35575
1853,DENMARK,98.0,-1.25035,-18.47241667,2.855333333
1853,GERMANY,5666.0,44.37155,6.873083333,1.063833333
1853,HUNGARY,94.0,48.73625,9.297916667,1.134333333
1853,NETHERLANDS,1138.0,46.79705,8.220583333,1.169666667
1853,NORWAY,45.0,32.21825,0.12125,1.4055
1853,POLAND,1178.0,43.84955,6.583083333,1.035166667
1853,SPAIN,178.0,54.85115,12.69508333,1.219
1853,SWEDEN,62.0,35.9435,2.190833333,1.054666667
1853,UNITED KINGDOM,31550.0,46.04045,7.80025,1.188416667
1854,AUSTRALIA,-35.0,68.5126,20.28477778,1.491
1854,AUSTRIA,867.0,42.25235,5.69575,1.377916667
1854,BELGIUM,3564.0,48.72965,9.29425,1.32125
1854,CANADA,34.0,22.01765,-5.54575,2.362166667
1854,DENMARK,125.0,-1.2328,-18.46266667,2.873916667
1854,GERMANY,6650.0,46.1594,7.866333333,1.291916667
1854,HUNGARY,119.0,48.72485,9.291583333,1.41925
1854,NETHERLANDS,1623.0,48.74285,9.301583333,1.344333333
1854,NORWAY,64.0,32.6807,0.378166667,1.609333333
1854,POLAND,1304.0,44.9747,7.208166667,1.308333333
